"","GOID","cluster","ClusterTheme","UserTheme","pVal","TERM"
"1","GO:0000902",276,"differentiating autonomously","developmental process",0.913157205746971,"cell morphogenesis"
"2","GO:0000959",367,"residues polyadenylation","bonds initiated \ covalent attachment",0.000406105537408326,"mitochondrial RNA metabolic process"
"3","GO:0000964",263,"mature 3","genome occurs \ molecule transcribed \ rna molecule",0.103421245863504,"mitochondrial RNA 5'-end processing"
"4","GO:0000965",263,"mature 3","genome occurs \ molecule transcribed \ rna molecule",0.103421245863504,"mitochondrial RNA 3'-end processing"
"5","GO:0001101",34,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",7.06183319452132e-05,"response to acid chemical"
"6","GO:0001568",55,"mature structure","mature structure",0.158302393351661,"blood vessel development"
"7","GO:0001775",301,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",0.746433121603126,"cell activation"
"8","GO:0001932",121,"lipoprotein particle","protein serine",0.146901336387339,"regulation of protein phosphorylation"
"9","GO:0001944",190,"mature structure","circulatory system",0.608761192132643,"vasculature development"
"10","GO:0002252",319,"immune response","immune system",0.0698116516485275,"immune effector process"
"11","GO:0002275",339,"soluble factor","immune response",0.0314382786118358,"myeloid cell activation involved in immune response"
"12","GO:0002366",339,"soluble factor","immune response",0.0314382786118358,"leukocyte activation involved in immune response"
"13","GO:0002376",319,"immune response","immune system",0.0698116516485275,"immune system process"
"14","GO:0002443",339,"soluble factor","immune response",0.0314382786118358,"leukocyte mediated immunity"
"15","GO:0002444",319,"immune response","immune system",0.0698116516485275,"myeloid leukocyte mediated immunity"
"16","GO:0006081",248,"individual cells","molecular mass \ relative molecular",1.18466878074396e-10,"cellular aldehyde metabolic process"
"17","GO:0006082",248,"individual cells","molecular mass \ relative molecular",1.18466878074396e-10,"organic acid metabolic process"
"18","GO:0006098",122,"6 phosphate","glucose 6 \ ribulose 5",0.0443392140692969,"pentose-phosphate shunt"
"19","GO:0006163",108,"guanyl nucleotides","5 hydroxyl",3.34081931536983e-05,"purine nucleotide metabolic process"
"20","GO:0006188",14,"compound consisting \ sugar esterified","ribose sugar",1.24555903350394e-07,"IMP biosynthetic process"
"21","GO:0006189",53,"5 triphosphate","mature trna \ pre trna \ purine ring \ ribose 5 \ trna molecule \ trna ready",0.178010857869571,"'de novo' IMP biosynthetic process"
"22","GO:0006221",14,"compound consisting \ sugar esterified","ribose sugar",1.24555903350394e-07,"pyrimidine nucleotide biosynthetic process"
"23","GO:0006399",222,"5 diphosphate","transfer rna",0.59883982272004,"tRNA metabolic process"
"24","GO:0006412",367,"residues polyadenylation","bonds initiated \ covalent attachment",0.000406105537408326,"translation"
"25","GO:0006414",288,"terminal domain","polypeptide chain",0.0189509551985704,"translational elongation"
"26","GO:0006415",288,"terminal domain","polypeptide chain",0.0189509551985704,"translational termination"
"27","GO:0006457",351,"macromolecular structure","correct tertiary \ protein oligomers \ tertiary structure",1.03145085813416e-11,"protein folding"
"28","GO:0006458",351,"macromolecular structure","correct tertiary \ protein oligomers \ tertiary structure",1.03145085813416e-11,"'de novo' protein folding"
"29","GO:0006464",351,"macromolecular structure","correct tertiary \ protein oligomers \ tertiary structure",1.03145085813416e-11,"cellular protein modification process"
"30","GO:0006469",221,"stops prevents","stops prevents",0.0112523145956755,"negative regulation of protein kinase activity"
"31","GO:0006508",232,"carbohydrate derivative","peptide bond",0.230159563906556,"proteolysis"
"32","GO:0006511",367,"residues polyadenylation","bonds initiated \ covalent attachment",0.000406105537408326,"ubiquitin-dependent protein catabolic process"
