"","GOID","cluster","GSE21935_Barnes_FSCZvsCTL","GSE21935_Barnes_MSCZvsCTL","GSE17612_Maycox_FSCZvsCTL","GSE17612_Maycox_MSCZvsCTL","GSE46509_Piet_FSCZvsCTL","GSE46509_Piet_MSCZvsCTL","GSE37981_Piet_FSCZvsCTL","GSE37981_Piet_MSCZvsCTL","female_scz_ancg_dge","female_scz_dlpfc_dge","female_scz_nacc_dge","male_scz_ancg_dge","male_scz_dlpfc_dge","male_scz_nAcc_dge","ClusterTheme","UserTheme","pVal","TERM"
"1","GO:0000002",325,0,0,0,0,0,0,0,0,0,0,0,1.546741542,0,1.399150299,"fg nucleoporins","outer rings",0.132968624492528,"mitochondrial genome maintenance"
"2","GO:0000018",143,0,0,0,0,0,0,0,2.30407209,0,0,0,0,0,1.32513978,"chromatin silencing","chromatin binding",5.79583984682732e-09,"regulation of DNA recombination"
"3","GO:0000028",258,0,0,0,0,0,0,0,0,0,0,0,0,0,1.551067458,"aggregation arrangement","aggregation arrangement",0.445864188786769,"ribosomal small subunit assembly"
"4","GO:0000030",264,0,0,0,0,0,0,0,0,1.454801524,0,0,0,0,0,"acceptor molecule","acceptor molecule",0.170447806692737,"mannosyltransferase activity"
"5","GO:0000038",248,0,0,1.86424477,0,0,0,0,0,0,0,0,0,2.041426067,0,"individual cells","amino acids",4.74351690430176e-12,"very long-chain fatty acid metabolic process"
"6","GO:0000041",316,0,0,0,0,0,0,0,0,0,0,0,4.443396627,1.310385829,0,"directed movement","directed movement",0.130078219265579,"transition metal ion transport"
"7","GO:0000045",198,0,0,0,0,0,1.586247443,0,0,0,0,0,0,0,0,"membrane bounded","membrane bounded",0.824068812660314,"autophagosome assembly"
"8","GO:0000049",180,0,0,0,0,0,0,0,0,0,0,0,1.883164488,0,0,"double stranded","14 3",0.00676862177414645,"tRNA binding"
"9","GO:0000070",393,0,0,0,0,0,1.879392488,0,0,0,0,0,1.401430213,0,3.204324745,"cycle process","cell cycle",0.429206597963043,"mitotic sister chromatid segregation"
"10","GO:0000075",329,1.485130785,0,0,0,1.554933445,3.124858114,0,3.325109177,0,0,0,1.361157546,0,0,"cell cycle","cell cycle",0.0302324621786205,"cell cycle checkpoint"
"11","GO:0000076",323,0,0,0,0,0,0,0,0,0,0,0,1.489997392,0,0,"cell cycle","cell cycle",1.2699139237233e-07,"DNA replication checkpoint"
"12","GO:0000077",323,0,0,0,0,1.890751587,2.700399642,0,4.018551758,0,0,0,1.703012899,0,0,"cell cycle","cell cycle",1.2699139237233e-07,"DNA damage checkpoint"
"13","GO:0000079",271,0,5.904738383,0,0,1.313399531,2.169237102,2.11360403,2.700066383,0,2.212931115,1.576892682,0,0,0,"adenylate cyclase","physiological ligand",0.0293475393583084,"regulation of cyclin-dependent protein serine/threonine kinase activity"
"14","GO:0000082",329,2.173699054,2.627370339,0,0,2.249443665,0,0,0,0,0,0,0,0,0,"cell cycle","cell cycle",0.0302324621786205,"G1/S transition of mitotic cell cycle"
"15","GO:0000083",323,2.116088348,0,0,0,0,0,0,0,0,0,0,0,0,0,"cell cycle","cell cycle",1.2699139237233e-07,"regulation of transcription involved in G1/S transition of mitotic cell cycle"
"16","GO:0000086",329,0,0,0,0,0,0,0,1.419552825,0,0,0,2.668561029,0,1.532055066,"cell cycle","cell cycle",0.0302324621786205,"G2/M transition of mitotic cell cycle"
"17","GO:0000096",248,0,0,0,0,0,0,0,0,0,0,0,0,0,2.067907064,"individual cells","amino acids",4.74351690430176e-12,"sulfur amino acid metabolic process"
"18","GO:0000118",64,1.56816531,4.457811323,0,1.608438466,0,1.548825799,0,0,0,0,0,0,0,0,"histone acetyltransferase","possesses histone",0.566914340474017,"histone deacetylase complex"
"19","GO:0000123",64,1.376550791,0,0,1.415880869,0,0,1.321412662,0,0,0,0,0,0,0,"histone acetyltransferase","possesses histone",0.566914340474017,"histone acetyltransferase complex"
"20","GO:0000132",329,0,0,0,0,0,0,0,0,1.328792542,0,0,1.831869678,1.521734446,0,"cell cycle","cell cycle",0.0302324621786205,"establishment of mitotic spindle orientation"
"21","GO:0000146",197,2.251098867,3.246626652,0,0,0,0,0,0,3.797952235,0,0,1.758469473,0,0,"motor proteins","motor proteins",0.185197290292845,"microfilament motor activity"
"22","GO:0000152",330,0,0,0,0,0,0,0,0,0,0,0,0,0,2.689341847,"ubiquitin ligase","ligase complex",0.746477169045504,"nuclear ubiquitin ligase complex"
"23","GO:0000154",101,0,0,0,0,0,0,0,0,0,0,1.501589648,0,0,0,"post transcriptionally","coded genetically",0.221581226139973,"rRNA modification"
"24","GO:0000165",33,3.059076628,6.42841714,2.30783585,0,5.768677745,0,4.396273402,4.930819844,1.615570991,0,0,2.567357592,1.452727749,0,"covalent linkages","kinase kinase",0.270224060608157,"MAPK cascade"
"25","GO:0000184",40,0,0,0,0,0,0,0,0,0,0,4.410094554,0,0,0,"rna polymerase","initiation phase \ replication includes",0.0753529239218076,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
"26","GO:0000185",282,0,2.701496332,0,0,0,0,1.312372587,0,0,0,0,0,0,0,"enzyme map","nf kappab",0.010196434040961,"activation of MAPKKK activity"
"27","GO:0000186",282,0,3.588007582,0,0,4.321474274,0,0,2.467706602,0,0,0,0,0,0,"enzyme map","nf kappab",0.010196434040961,"activation of MAPKK activity"
"28","GO:0000187",282,2.519883405,5.590673247,2.055442413,0,1.73053258,0,1.57930565,3.687997985,0,0,0,0,0,0,"enzyme map","nf kappab",0.010196434040961,"activation of MAPK activity"
"29","GO:0000209",232,0,0,0,0,0,0,0,1.517916714,0,0,0,2.932920842,0,1.57372008,"carbohydrate derivative","protein ubiquitination",0.783348116478473,"protein polyubiquitination"
"30","GO:0000212",178,0,0,0,0,1.369130275,0,1.312372587,2.723359782,0,1.347584891,0,0,0,0,"assembly arrangement","assembly arrangement",2.55308354170545e-07,"meiotic spindle organization"
"31","GO:0000228",13,2.315082789,3.699896636,0,0,2.431944102,2.270767425,0,4.584701224,0,0,0,2.731906617,0,1.695399764,"organized complex","linear chromosome",0.00139947473571985,"nuclear chromosome"
"32","GO:0000235",11,0,0,0,0,1.446761264,0,0,0,0,0,0,2.364486149,0,1.412590681,"nephron acquires","renal tubule \ thin filaments",0.218570342418831,"astral microtubule"
"33","GO:0000245",258,0,0,0,0,0,0,0,0,0,0,0,0,0,1.454775092,"aggregation arrangement","aggregation arrangement",0.445864188786769,"spliceosomal complex assembly"
"34","GO:0000271",223,0,0,0,0,0,1.861430413,0,0,0,0,0,0,0,0,"1,4 linked","monosaccharide residues",0.904270367251356,"polysaccharide biosynthetic process"
"35","GO:0000272",377,0,0,0,0,0,0,0,0,0,0,1.336881122,0,0,0,"2 amino","10 monosaccharide \ concomitant production \ glucose residues \ linked glycosidically \ residues linked",0.82599537573749,"polysaccharide catabolic process"
"36","GO:0000280",393,0,0,0,0,0,2.148025891,0,2.851679711,0,1.539472337,0,0,0,1.457699877,"cycle process","cell cycle",0.429206597963043,"nuclear division"
"37","GO:0000287",369,2.012158532,2.133180952,1.575299754,2.08715855,0,0,0,2.179061879,0,0,0,3.252330145,2.171647153,1.67532802,"responding e.g","atoms found \ bridging ligands \ cluster consists \ inorganic sulfur \ iron atoms \ original structure \ sulfur atoms",0.0236268943758917,"magnesium ion binding"
"38","GO:0000302",34,0,2.356510444,0,0,0,1.399886488,1.349674907,0,2.002300547,0,0,1.884071213,0,0,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",3.6996646915483e-26,"response to reactive oxygen species"
"39","GO:0000303",34,0,0,0,0,0,0,0,0,0,0,0,1.406231048,0,0,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",3.6996646915483e-26,"response to superoxide"
"40","GO:0000305",34,0,0,0,0,0,0,0,0,0,0,0,1.328864531,0,0,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",3.6996646915483e-26,"response to oxygen radical"
"41","GO:0000307",128,0,1.614455,0,0,0,0,0,1.635071878,0,0,1.42127548,0,0,1.321471602,"cyclin dependent","dependent protein",0.705572174925318,"cyclin-dependent protein kinase holoenzyme complex"
"42","GO:0000313",198,0,0,0,0,0,0,0,0,0,0,0,4.816660416,0,7.007441602,"membrane bounded","membrane bounded",0.824068812660314,"organellar ribosome"
"43","GO:0000314",153,0,0,0,0,0,0,0,0,0,0,0,3.152063684,0,4.664163224,"core complex","proteasome core \ ribosome located",9.87574152289292e-07,"organellar small ribosomal subunit"
"44","GO:0000315",153,0,0,0,0,0,0,0,0,0,0,0,2.08311457,0,3.3653372,"core complex","proteasome core \ ribosome located",9.87574152289292e-07,"organellar large ribosomal subunit"
"45","GO:0000338",33,0,0,0,1.441249325,0,0,1.389780442,0,0,0,0,1.488297076,0,2.482712862,"covalent linkages","kinase kinase",0.270224060608157,"protein deneddylation"
"46","GO:0000346",217,0,0,0,0,0,0,0,0,0,0,0,0,2.366812347,2.042143824,"rna polymerase","polymerase ii",0.441698585269075,"transcription export complex"
"47","GO:0000375",288,0,0,0,0,0,0,0,0,0,0,0,1.392293802,0,6.268672139,"terminal domain","polypeptide chain",0.214939731238221,"RNA splicing, via transesterification reactions"
"48","GO:0000377",288,0,0,0,0,0,0,0,0,0,0,0,1.441797192,0,6.356338563,"terminal domain","polypeptide chain",0.214939731238221,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"
"49","GO:0000381",133,1.672714933,0,0,0,0,0,0,0,0,0,0,0,0,0,"ii promoter","polymerase ii",0.840465629019848,"regulation of alternative mRNA splicing, via spliceosome"
"50","GO:0000398",288,0,0,0,0,0,0,0,0,0,0,0,1.441797192,0,6.356338563,"terminal domain","polypeptide chain",0.214939731238221,"mRNA splicing, via spliceosome"
"51","GO:0000428",168,0,0,0,0,0,0,0,0,0,0,0,1.500022189,0,0,"rrna molecule","rna polymerase",0.521154876642616,"DNA-directed RNA polymerase complex"
"52","GO:0000439",176,0,0,0,0,0,1.369069922,1.349274745,0,0,0,0,0,0,0,"protein complex","protein complex",0.274116898121055,"transcription factor TFIIH core complex"
"53","GO:0000463",168,0,0,0,0,0,0,0,0,0,0,2.700882918,0,0,0,"rrna molecule","rna polymerase",0.521154876642616,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"54","GO:0000470",33,0,0,0,0,0,0,0,0,0,0,1.915419124,0,0,0,"covalent linkages","kinase kinase",0.270224060608157,"maturation of LSU-rRNA"
"55","GO:0000491",73,1.419897794,0,0,0,0,0,1.389780442,0,0,0,0,0,0,0,"ribonucleoprotein complex","ribonucleoprotein complex",0.302779373285286,"small nucleolar ribonucleoprotein complex assembly"
"56","GO:0000502",153,0,0,0,0,0,0,0,0,0,0,0,2.224951579,0,0,"core complex","proteasome core \ ribosome located",9.87574152289292e-07,"proteasome complex"
"57","GO:0000715",75,0,0,0,0,0,0,0,0,0,0,0,0,0,1.447013672,"excision repair","excision repair \ nucleotide excision",0.646944065812695,"nucleotide-excision repair, DNA damage recognition"
"58","GO:0000723",336,0,0,0,0,1.305444235,0,0,2.683783092,0,0,0,0,0,4.170388224,"mating type","genetic material",0.574702454795729,"telomere maintenance"
"59","GO:0000724",214,0,0,0,0,0,0,0,3.609603074,0,0,0,0,0,2.803833894,"strand break","double strand",0.077511274204808,"double-strand break repair via homologous recombination"
"60","GO:0000725",336,0,0,0,0,0,0,0,3.570359565,0,0,0,0,0,2.740184244,"mating type","genetic material",0.574702454795729,"recombinational repair"
"61","GO:0000726",336,0,0,0,0,0,1.490425611,2.491614871,4.35713276,0,0,0,0,0,2.726023266,"mating type","genetic material",0.574702454795729,"non-recombinational repair"
"62","GO:0000727",214,0,0,0,1.363638634,0,1.33212724,0,0,1.336968449,0,0,0,0,0,"strand break","double strand",0.077511274204808,"double-strand break repair via break-induced replication"
"63","GO:0000729",288,0,0,0,0,0,0,0,3.642113776,0,0,0,0,0,1.497564245,"terminal domain","polypeptide chain",0.214939731238221,"DNA double-strand break processing"
"64","GO:0000768",273,0,0,0,0,0,0,0,0,1.582566333,0,0,0,0,0,"stroma thylakoids","nuclei enclosed \ single plasma",0.998640259298958,"syncytium formation by plasma membrane fusion"
"65","GO:0000775",13,0,0,0,0,0,1.360949316,0,1.635406683,0,0,0,0,0,4.185685985,"organized complex","linear chromosome",0.00139947473571985,"chromosome, centromeric region"
"66","GO:0000776",83,0,0,0,0,0,0,0,0,0,0,0,0,0,3.341663533,"protein complex","blood platelets",0.996989548589429,"kinetochore"
"67","GO:0000777",13,0,0,0,0,0,0,0,0,0,0,0,0,0,3.237914084,"organized complex","linear chromosome",0.00139947473571985,"condensed chromosome kinetochore"
"68","GO:0000779",13,0,0,0,0,0,0,0,0,0,0,0,0,0,3.434280506,"organized complex","linear chromosome",0.00139947473571985,"condensed chromosome, centromeric region"
"69","GO:0000781",13,1.719317573,0,0,0,1.791590977,1.691829957,1.639081378,2.900348697,0,0,0,1.953427164,0,3.601927802,"organized complex","linear chromosome",0.00139947473571985,"chromosome, telomeric region"
"70","GO:0000782",13,0,0,0,0,1.335142632,0,0,0,0,0,0,0,0,0,"organized complex","linear chromosome",0.00139947473571985,"telomere cap complex"
"71","GO:0000783",13,0,0,0,0,1.335142632,0,0,0,0,0,0,0,0,0,"organized complex","linear chromosome",0.00139947473571985,"nuclear telomere cap complex"
"72","GO:0000784",13,0,0,0,0,1.335142632,0,0,0,0,0,0,0,0,0,"organized complex","linear chromosome",0.00139947473571985,"nuclear chromosome, telomeric region"
"73","GO:0000790",13,3.194611073,4.645153062,0,0,0,3.15512718,0,2.63603616,0,0,0,1.789333661,0,0,"organized complex","linear chromosome",0.00139947473571985,"nuclear chromatin"
"74","GO:0000791",13,0,0,0,0,0,0,0,1.73612883,0,0,0,0,0,0,"organized complex","linear chromosome",0.00139947473571985,"euchromatin"
"75","GO:0000792",13,1.520970185,0,0,0,0,1.501735766,0,0,0,0,0,0,0,0,"organized complex","linear chromosome",0.00139947473571985,"heterochromatin"
"76","GO:0000793",13,0,0,0,0,0,0,0,0,0,0,0,0,0,4.001718019,"organized complex","linear chromosome",0.00139947473571985,"condensed chromosome"
"77","GO:0000800",393,0,0,0,0,0,0,0,0,0,0,0,0,0,2.042143824,"cycle process","cell cycle",0.429206597963043,"lateral element"
"78","GO:0000803",166,0,0,0,0,0,0,0,0,0,0,0,0,0,2.181214113,"sexual phenotype","physical differentiation",0.570450758146646,"sex chromosome"
"79","GO:0000812",176,1.342368269,0,0,1.363638634,1.369130275,0,0,0,0,0,0,0,0,0,"protein complex","protein complex",0.274116898121055,"Swr1 complex"
"80","GO:0000815",83,0,0,0,1.400642145,0,0,0,0,0,0,0,0,0,0,"protein complex","blood platelets",0.996989548589429,"ESCRT III complex"
"81","GO:0000819",393,0,0,0,0,0,1.646301517,0,0,0,0,0,1.779745656,0,2.917616197,"cycle process","cell cycle",0.429206597963043,"sister chromatid segregation"
"82","GO:0000922",387,0,0,0,0,0,0,0,0,0,0,0,1.911792151,0,2.530480052,"outer segment","zonula adherens",0.0265016751442927,"spindle pole"
"83","GO:0000932",112,0,0,0,0,0,0,0,0,0,0,0,1.724951081,1.580435791,0,"er membrane","directing proteins \ er membrane \ signals contained",0.641994691202421,"P-body"
"84","GO:0000940",13,0,0,0,0,0,0,0,0,0,0,0,0,0,3.097179511,"organized complex","linear chromosome",0.00139947473571985,"condensed chromosome outer kinetochore"
"85","GO:0000956",367,0,0,0,0,0,0,0,0,0,0,3.218408373,0,0,0,"residues polyadenylation","constituent macromolecules \ macromolecules assembly",0.00285977611386333,"nuclear-transcribed mRNA catabolic process"
"86","GO:0000959",367,0,0,0,0,0,0,0,0,0,0,0,0,0,1.385977261,"residues polyadenylation","constituent macromolecules \ macromolecules assembly",0.00285977611386333,"mitochondrial RNA metabolic process"
"87","GO:0000963",40,0,0,0,0,0,0,0,0,0,0,0,2.08273692,0,0,"rna polymerase","initiation phase \ replication includes",0.0753529239218076,"mitochondrial RNA processing"
"88","GO:0000974",176,0,0,0,0,1.335142632,0,0,0,0,0,1.689238966,0,0,0,"protein complex","protein complex",0.274116898121055,"Prp19 complex"
"89","GO:0000979",249,0,0,0,0,0,0,0,0,0,0,0,3.012089,0,0,"rna polymerase","rna polymerase",0.000130297265744393,"RNA polymerase II core promoter sequence-specific DNA binding"
"90","GO:0000993",249,0,0,0,0,0,0,0,0,0,0,0,0,0,1.567643727,"rna polymerase","rna polymerase",0.000130297265744393,"RNA polymerase II complex binding"
"91","GO:0001046",249,0,0,0,0,0,0,0,0,0,0,0,2.669875117,0,0,"rna polymerase","rna polymerase",0.000130297265744393,"core promoter sequence-specific DNA binding"
