,,,GSE21935_Barnes_FSCZvsCTL,GSE21935_Barnes_MSCZvsCTL,GSE17612_Maycox_FSCZvsCTL,GSE17612_Maycox_MSCZvsCTL,GSE46509_Piet_FSCZvsCTL,GSE46509_Piet_MSCZvsCTL,GSE37981_Piet_FSCZvsCTL,GSE37981_Piet_MSCZvsCTL,female_scz_ancg_dge,female_scz_dlpfc_dge,female_scz_nacc_dge,male_scz_ancg_dge,male_scz_dlpfc_dge,male_scz_nAcc_dge
VASCULATURE DEVELOPMENT,GOBP,GO:0001944,0,0,1.428583304,1.368956297,1.908959367,2.509221986,0,1.829227843,26.15889022,4.003534048,5.665370591,23.10841883,9.522850504,2.574626658
HEART DEVELOPMENT,GOBP,GO:0007507,0,1.672359973,1.620955739,1.609590445,3.627160858,0,0,2.003787366,7.703250572,3.161845613,6.748723299,16.76312684,4.76932417,2.149143836
CARDIOVASCULAR SYSTEM DEVELOPMENT,GOBP,GO:0072358,0,0,1.428583304,1.368956297,1.908959367,2.509221986,0,1.829227843,26.15889022,4.003534048,5.665370591,23.10841883,9.522850504,2.574626658
BLOOD VESSEL DEVELOPMENT,GOBP,GO:0001568,0,0,1.384158671,0,1.988253251,2.229961044,0,2.011577761,27.12679107,4.128922316,5.941430642,23.75034761,9.958209154,2.410910384
GLAND MORPHOGENESIS,GOBP,GO:0022612,1.888023018,0,2.937778728,0,1.422755163,0,1.631168824,0,8.92849252,2.597973888,3.099528854,13.29138028,5.75447302,2.122209806
WOUND HEALING,GOBP,GO:0042060,0,0,1.508188611,2.206533742,0,0,1.450206963,1.325704848,13.50934603,3.239931282,3.094313495,20.42363781,6.5891007,3.008585629
REGULATION OF HEMOPOIESIS,GOBP,GO:1903706,0,0,2.221641526,2.346188178,2.120936413,0,0,0,12.22114886,1.92034976,4.889557396,16.49729201,5.846411295,4.125756871
CARDIAC CHAMBER DEVELOPMENT,GOBP,GO:0003205,0,0,0,1.869723807,1.866657223,1.561841251,1.370753061,1.535490018,5.256319772,0,4.072856654,4.528000949,1.492287242,0
POSITIVE REGULATION OF VASCULATURE DEVELOPMENT,GOBP,GO:1904018,0,0,2.004251874,0,0,2.497065047,1.506229527,0,15.34863618,3.682991704,5.671661403,24.16195392,8.284824223,4.352167871
POSITIVE REGULATION OF HEMOPOIESIS,GOBP,GO:1903708,0,0,1.494994727,2.787233054,1.566074415,0,0,0,9.130816703,2.504418461,4.446405073,5.694108055,2.819233658,3.299813782
GLAND DEVELOPMENT,GOBP,GO:0048732,0,0,2.397543631,1.55830634,2.697690631,0,0,0,9.249775267,2.996883526,5.956306122,17.79648174,5.975556433,2.928659181
RESPONSE TO STEROID HORMONE,GOBP,GO:0048545,0,0,1.495128147,0,0,1.536552859,1.827696351,0,4.017095799,1.33728872,2.801767724,12.19310495,7.921624444,1.490563231
REGULATION OF ANGIOGENESIS,GOBP,GO:0045765,0,1.359294493,2.110011239,0,0,2.228375678,0,0,24.398754,5.614762073,7.754047705,27.91499044,7.301904222,6.695271359
POSITIVE REGULATION OF PROTEIN SERINE/THREONINE KINASE ACTIVITY,GOBP,GO:0071902,0,1.461103212,1.693612724,1.463314185,0,0,0,0,16.80278518,2.492114701,16.99628556,50.90754486,19.88835187,10.23598419
RESPIRATORY SYSTEM DEVELOPMENT,GOBP,GO:0060541,0,0,1.459354029,1.703498085,2.658141551,2.156181497,0,0,6.225192242,2.666868661,3.424202205,7.743410124,2.584482885,0
INTRACELLULAR RECEPTOR SIGNALING PATHWAY,GOBP,GO:0030522,1.428238052,0,1.476982839,0,1.496664394,0,0,0,1.57863477,1.703469916,2.629498856,6.139807966,3.579198767,2.941304601
NEGATIVE REGULATION OF CELL-CELL ADHESION,GOBP,GO:0022408,0,0,3.315458476,0,1.465614605,1.387145216,0,0,3.741398044,1.77670913,1.654717911,10.32098856,2.616574046,5.033365803
REGULATION OF LEUKOCYTE DIFFERENTIATION,GOBP,GO:1902105,0,0,2.386928918,2.429376301,1.649822476,0,0,0,10.58467924,2.828810951,4.429026386,9.284006918,2.741847001,4.020425735
BLOOD VESSEL MORPHOGENESIS,GOBP,GO:0048514,0,0,1.320941111,0,2.31932086,0,0,2.042029277,24.09354279,4.676636462,5.845386358,21.78057859,9.018126054,1.740417495
REGULATION OF EPITHELIAL CELL PROLIFERATION,GOBP,GO:0050678,0,0,1.620302121,0,2.013940777,1.758343134,0,0,11.73634339,8.494902285,5.601971107,21.0806551,9.229996928,4.751425553
POSITIVE REGULATION OF ANGIOGENESIS,GOBP,GO:0045766,0,0,1.448937305,0,0,2.133089949,1.388342279,0,14.74779319,3.919032064,6.207030565,18.72342638,7.327729945,2.428514367
POSITIVE REGULATION OF GROWTH,GOBP,GO:0045927,0,0,2.039021953,2.714536152,0,2.060842803,0,0,7.006438274,5.116428749,2.035536096,9.586623589,2.75374801,1.378727936
REGULATION OF MAP KINASE ACTIVITY,GOBP,GO:0043405,0,1.532472755,1.568857214,1.319537137,0,0,0,0,17.80416563,7.32272,17.14145394,45.83775188,21.9832283,8.962152838
REGULATION OF ERK1 AND ERK2 CASCADE,GOBP,GO:0070372,0,1.797057477,2.952631026,0,1.504738453,0,0,0,14.03099131,7.8770053,5.612266225,19.20613478,9.57769133,2.439482255
REGULATION OF PROTEIN KINASE B SIGNALING,GOBP,GO:0051896,0,1.327355909,1.676505702,0,0,0,0,2.106639458,12.85793866,5.310088917,7.783670767,27.51762277,10.02236183,2.876515713
REGULATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC PROCESS,GOBP,GO:0043281,0,1.973524293,1.844115461,0,0,1.539946756,0,0,3.66736435,1.613621404,1.39257533,8.598063877,3.285537726,3.187485164
ERBB SIGNALING PATHWAY,GOBP,GO:0038127,0,0,0,0,1.675646585,0,1.535361538,1.981201161,10.53276106,4.226938655,7.905234741,11.37463484,4.795053282,3.4193912
REGULATION OF MYELOID CELL DIFFERENTIATION,GOBP,GO:0045637,0,0,0,2.091367609,2.087344529,0,2.084543467,0,7.384283049,1.502432771,2.161574846,10.26200548,2.928766121,3.324318478
BASAL PART OF CELL,GOCC,GO:0045178,1.770616352,1.95463404,0,0,0,0,1.349787282,1.518129509,4.082329032,1.794902631,0,6.87588149,2.438655073,1.463908985
REGULATION OF INTERLEUKIN-8 PRODUCTION,GOBP,GO:0032677,0,0,2.143819115,0,0,1.311719838,0,0,3.40995014,2.742296574,1.787269065,6.193597717,2.747405157,1.731000182
STRIATED MUSCLE TISSUE DEVELOPMENT,GOBP,GO:0014706,0,0,0,2.168102942,1.898998327,0,0,1.390584207,4.586144989,0,4.659888683,5.081945748,2.438747951,1.886964401
POSITIVE REGULATION OF LEUKOCYTE DIFFERENTIATION,GOBP,GO:1902107,0,0,1.791872975,1.366347227,0,0,0,0,7.106803665,2.890250939,3.879403738,4.632741715,2.413017868,3.043905876
POSITIVE REGULATION OF MYELOID CELL DIFFERENTIATION,GOBP,GO:0045639,0,0,0,1.827707629,0,1.34395794,0,0,6.457801915,2.457778316,2.112778597,4.763795896,1.638669179,2.492638748
POSITIVE REGULATION OF ENDOPEPTIDASE ACTIVITY,GOBP,GO:0010950,0,1.36198521,2.417579443,0,0,1.449927679,0,0,3.813480682,0,2.239264467,8.02915067,2.665643032,3.230134214
UROGENITAL SYSTEM DEVELOPMENT,GOBP,GO:0001655,0,0,1.436906871,5.101816444,1.47794138,0,0,0,4.833331802,2.667030021,1.926550259,11.28264594,6.329893835,0
RENAL SYSTEM DEVELOPMENT,GOBP,GO:0072001,0,0,1.388379051,4.217111084,1.30089019,0,0,0,4.417120434,2.870119642,2.21285841,11.25824052,7.04760587,0
REGULATION OF VASCULATURE DEVELOPMENT,GOBP,GO:1901342,0,0,2.280225634,0,0,2.72758225,0,0,25.06160657,5.253444646,8.502536087,32.4492476,7.838876824,7.741801417
POSITIVE REGULATION OF CELL GROWTH,GOBP,GO:0030307,0,0,1.571035552,2.358247409,0,1.669509787,0,0,4.3696864,5.142926335,0,6.316574803,2.446307487,1.526655885
NEGATIVE REGULATION OF MAPK CASCADE,GOBP,GO:0043409,0,1.640905941,0,0,0,1.434657488,0,0,8.319500957,2.811851962,4.457772484,19.00767307,7.151633856,5.438648542
POSITIVE REGULATION OF NF-KAPPAB TRANSCRIPTION FACTOR ACTIVITY,GOBP,GO:0051092,0,1.504195035,1.425547196,0,0,0,0,0,14.68106346,1.897681834,1.855662131,20.31778821,8.141713129,4.857691848
NEGATIVE REGULATION OF PROTEIN PHOSPHORYLATION,GOBP,GO:0001933,0,1.665551732,0,0,0,0,1.876544673,0,21.51331029,6.453258412,13.7162566,46.03440933,14.45272512,7.037148015
REGULATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY,GOBP,GO:2000116,0,1.627159309,1.571185252,0,0,1.554421538,0,0,3.719566676,1.497679248,0,9.04994479,3.465930633,2.796450002
ERBB2 SIGNALING PATHWAY,GOBP,GO:0038128,0,0,0,0,0,0,1.917449236,2.789005491,5.322696806,3.932888089,3.254780469,7.540878501,5.020092234,1.656139971
SMALL GTPASE MEDIATED SIGNAL TRANSDUCTION,GOBP,GO:0007264,0,1.306535229,0,0,0,2.005767923,0,0,1.947444803,2.143519415,2.949512943,13.56343499,3.071761849,2.896729833
NEGATIVE REGULATION OF PHOSPHORYLATION,GOBP,GO:0042326,0,1.635684763,0,0,0,0,1.497914319,0,21.30525749,7.06927168,14.30976248,50.05750791,14.77468811,9.756490998
REGULATION OF MYELOID LEUKOCYTE DIFFERENTIATION,GOBP,GO:0002761,0,0,0,2.470727115,0,0,1.53718102,0,7.343067564,2.280772571,3.254297132,7.510198924,1.403321209,4.088226703
FEMALE SEX DIFFERENTIATION,GOBP,GO:0046660,1.423975765,0,0,0,0,3.132504075,0,0,2.084089665,1.408558535,1.424241632,2.537691454,4.357703514,1.311057248
REGULATION OF TRANSFORMING GROWTH FACTOR BETA RECEPTOR SIGNALING PATHWAY,GOBP,GO:0017015,0,0,0,1.926648178,0,0,2.076106632,0,8.807354063,2.230804624,5.630110318,19.12143653,8.976788308,3.259429551
NEGATIVE REGULATION OF LEUKOCYTE ACTIVATION,GOBP,GO:0002695,0,0,3.722849834,0,0,1.664028812,0,0,4.359069842,1.783062927,2.213384364,4.257398678,2.632804648,5.752395038
SKELETAL SYSTEM DEVELOPMENT,GOBP,GO:0001501,1.538252756,0,0,3.710063361,0,1.509317934,0,0,5.972432206,1.32833225,2.026714904,6.723779147,5.926746924,0
REGULATION OF CELLULAR RESPONSE TO TRANSFORMING GROWTH FACTOR BETA STIMULUS,GOBP,GO:1903844,0,0,0,1.840848678,0,0,1.983275908,0,8.642986416,2.201885321,5.535097246,20.58414217,10.80849839,3.850081451
POSITIVE REGULATION OF PEPTIDYL-TYROSINE PHOSPHORYLATION,GOBP,GO:0050731,0,1.544619802,1.331468226,0,0,0,0,0,9.730745895,3.607047273,3.322173272,14.53269246,5.698949545,1.561495976
NEGATIVE REGULATION OF CELL ACTIVATION,GOBP,GO:0050866,0,0,3.77569221,0,0,1.307429567,0,0,3.936206487,1.680217513,2.574552372,5.957217435,3.502768286,6.656719007
POSITIVE REGULATION OF DNA-BINDING TRANSCRIPTION FACTOR ACTIVITY,GOBP,GO:0051091,1.74800571,0,2.195556657,0,0,0,0,0,18.4960376,2.08077488,3.995793604,24.03351527,8.697410773,7.352073757
POSITIVE REGULATION OF CELL DIVISION,GOBP,GO:0051781,0,0,1.603612109,0,0,0,0,2.056697513,5.621457512,1.576726337,3.256671385,5.213495009,2.640630399,1.649905483
DEVELOPMENTAL GROWTH,GOBP,GO:0048589,0,0,0,1.658510497,1.877682321,0,0,0,6.343593679,5.167452819,3.093694061,19.81380775,10.49321234,3.139697172
PEPTIDYL-TYROSINE MODIFICATION,GOBP,GO:0018212,0,1.339502543,0,0,1.533163694,0,0,0,12.61311432,1.98706744,9.374329792,19.13773706,3.826964308,3.217365149
REGULATION OF ENDOTHELIAL CELL MIGRATION,GOBP,GO:0010594,0,0,1.608669163,0,0,1.456734658,0,0,14.48386203,2.82142168,2.403152998,29.17148222,6.376853521,2.901679214
REGULATION OF MACROPHAGE CYTOKINE PRODUCTION,GOBP,GO:0010935,0,1.418686691,2.42150575,0,0,0,0,0,3.596283866,1.359694994,3.157688216,3.153186906,1.641491093,1.498720933
POSITIVE REGULATION OF STRESS-ACTIVATED PROTEIN KINASE SIGNALING CASCADE,GOBP,GO:0070304,0,2.381137589,2.024463421,0,0,0,0,0,13.85877319,1.912053705,12.02203292,28.95432509,8.219366217,3.002399415
REGULATION OF MUSCLE TISSUE DEVELOPMENT,GOBP,GO:1901861,0,0,0,1.509491577,1.507034509,1.602021828,0,0,6.958308707,2.201885321,3.848751022,5.736440431,1.820924099,0
REGULATION OF CELL-CELL ADHESION,GOBP,GO:0022407,0,0,3.108022759,0,2.19723823,0,0,0,7.608161556,2.768628247,4.181118649,12.2342495,2.849739827,4.131838148
REGULATION OF DEVELOPMENTAL GROWTH,GOBP,GO:0048638,0,1.302954388,0,1.702597559,0,0,0,0,11.12262419,4.471155236,1.926550259,17.35852283,4.491597189,1.501178529
RESPONSE TO NUTRIENT,GOBP,GO:0007584,0,0,0,0,1.624875762,2.002884764,1.408430269,0,2.331719245,3.493771711,3.145581315,6.330681986,4.720736057,0
REGULATION OF ORGAN GROWTH,GOBP,GO:0046620,0,0,0,1.934734032,1.539755387,0,1.395269586,0,4.699193409,2.653552756,3.202854548,5.734879046,1.308341273,0
POSITIVE REGULATION OF CELL ADHESION,GOBP,GO:0045785,0,0,0,0,0,0,1.714263171,1.366531722,15.58876703,3.5961747,3.714674966,13.02582406,5.926907041,3.760985973
REGULATION OF MUSCLE ORGAN DEVELOPMENT,GOBP,GO:0048634,0,0,0,1.461423099,1.459001273,1.547763674,0,0,6.866897299,2.183024547,3.80136527,5.62272523,1.790283407,0
CELLULAR RESPONSE TO GROWTH FACTOR STIMULUS,GOBP,GO:0071363,0,0,1.535458853,0,0,1.847946944,0,0,35.4798609,9.9440976,16.91286409,62.45300718,18.64867038,4.746919456
POSITIVE REGULATION OF STRESS-ACTIVATED MAPK CASCADE,GOBP,GO:0032874,0,2.153964349,1.791872975,0,0,0,0,0,13.04672942,1.926628745,12.11611911,29.26749704,8.298201772,3.043905876
EPITHELIAL TUBE MORPHOGENESIS,GOBP,GO:0060562,0,0,0,1.555535607,2.033368623,1.437347091,0,0,14.16284511,3.681932028,3.718218372,11.17095249,4.244079656,0
STEM CELL DIFFERENTIATION,GOBP,GO:0048863,0,1.421736371,0,2.015486924,1.695199477,0,0,0,5.71654712,1.941412141,3.202446667,3.321187359,1.900115377,0
INTERFERON-GAMMA-MEDIATED SIGNALING PATHWAY,GOBP,GO:0060333,0,2.403626066,1.372276191,0,1.639768991,1.619341184,0,0,3.76512414,0,0,3.536316934,3.849835345,1.326024865
POSITIVE REGULATION OF PROTEOLYSIS,GOBP,GO:0045862,0,0,2.086630266,0,0,1.316884987,0,0,7.867851763,3.09775661,4.358761795,13.49741356,5.115874955,3.141896398
GROWTH,GOBP,GO:0040007,0,0,0,1.628238124,1.844841934,0,0,0,6.871059134,5.1486922,3.071434706,19.67163374,10.43617584,3.112393375
REGULATION OF STRIATED MUSCLE TISSUE DEVELOPMENT,GOBP,GO:0016202,0,0,0,1.559074746,1.556582288,1.658058724,0,0,7.051565722,2.221079291,3.897061808,5.852878591,1.85224059,0
REGULATION OF LYMPHOCYTE DIFFERENTIATION,GOBP,GO:0045619,0,0,1.888492064,0,0,1.493156043,0,0,7.189901827,2.728487784,1.707665187,4.411890872,2.698994121,2.712403086
POSITIVE REGULATION OF MAP KINASE ACTIVITY,GOBP,GO:0043406,0,1.960457956,2.520889562,0,0,0,0,0,13.18581623,3.015657885,12.25403708,38.41971735,17.95568676,5.11167542
FOREBRAIN DEVELOPMENT,GOBP,GO:0030900,0,2.111443404,0,0,1.958001289,2.290765688,0,0,6.943238785,0,2.36767232,9.276463223,2.298193383,1.381169265
