,,,ChangCTLvsMDD_ACC_Female,ChangCTLvsMDD_ACC_Male,ChangCTLvsMDD_DLPFC_Female,ChangCTLvsMDD_DLPFC_Male,female_ancg_dge,female_dlpfc_dge,female_nacc_dge,male_ancg_dge,male_dlpfc_dge,male_nAcc_dge
REGULATION OF LIPID METABOLIC PROCESS,GOBP,GO:0019216,4.131246217,2.719929113,4.020004407,3.793785818,4.902164327,1.928632111,1.573208931,1.310239776,1.676612515,0
REGULATION OF LIPID BIOSYNTHETIC PROCESS,GOBP,GO:0046890,1.635253798,1.547324554,0,2.544999205,2.326283778,2.328397517,1.737713577,1.443284619,4.256409389,0
RESPONSE TO INSULIN,GOBP,GO:0032868,1.622886666,1.883472526,4.449228759,0,1.737343078,1.810341252,0,2.529633897,3.080008377,0
NEGATIVE REGULATION OF CYCLIN-DEPENDENT PROTEIN SERINE/THREONINE KINASE ACTIVITY,GOBP,GO:0045736,0,0,0,1.669973998,1.545093197,3.087328096,1.898816754,2.177083827,1.839155598,2.363532172
ALCOHOL METABOLIC PROCESS,GOBP,GO:0006066,0,0,1.916895266,1.765514973,1.539588904,2.327353093,3.173702163,1.924222751,2.686910977,0
NEGATIVE REGULATION OF CYCLIN-DEPENDENT PROTEIN KINASE ACTIVITY,GOBP,GO:1904030,0,0,0,1.630753709,1.517695099,3.043589264,1.870516314,2.123889668,1.799049537,2.309315962
RESPONSE TO STEROID HORMONE,GOBP,GO:0048545,1.834277246,0,0,0,1.432213524,2.118637493,2.277946329,3.534719064,2.948876219,3.220474335
REGULATION OF SMALL MOLECULE METABOLIC PROCESS,GOBP,GO:0062012,2.681926957,1.87300399,0,3.165211427,2.199946688,0,0,5.38091237,2.323941669,5.449626165
CELLULAR RESPONSE TO EXTERNAL STIMULUS,GOBP,GO:0071496,0,0,5.654490307,0,2.300018738,2.135514464,1.746649789,3.779091356,5.263682424,1.74383264
REGULATION OF FATTY ACID METABOLIC PROCESS,GOBP,GO:0019217,4.14644869,3.325021182,0,1.397184997,3.732928556,2.561981503,0,3.187969179,2.921540213,0
POSITIVE REGULATION OF CELLULAR PROTEIN CATABOLIC PROCESS,GOBP,GO:1903364,1.463363835,0,1.809371135,1.389605188,0,1.76879661,0,1.683018092,2.192876073,1.555008579
NEGATIVE REGULATION OF MITOTIC CELL CYCLE PHASE TRANSITION,GOBP,GO:1901991,0,1.66042885,2.424410449,0,1.311782692,6.829179838,0,4.731047798,1.388602306,3.229627402
FOCAL ADHESION,GOCC,GO:0005925,1.566390276,1.438881684,3.633739138,3.331372423,1.419381155,0,0,0,1.427883238,5.69879285
CELL-SUBSTRATE JUNCTION,GOCC,GO:0030055,1.786235689,1.382159331,3.804087819,3.240851067,1.38398309,0,0,0,1.685809236,5.563173324
CELL-SUBSTRATE ADHERENS JUNCTION,GOCC,GO:0005924,1.549311495,1.422467719,3.593132445,3.30525464,1.409170048,0,0,0,1.413996754,5.659692248
REGULATION OF NEUROTRANSMITTER LEVELS,GOBP,GO:0001505,2.542368725,4.023424849,1.840396659,2.069540204,0,0,0,2.197737007,1.825039523,0
REGULATION OF CELL CYCLE ARREST,GOBP,GO:0071156,0,2.323886361,1.576021879,0,0,4.26492892,0,3.38306159,1.417484295,1.96536784
LEUKOCYTE DIFFERENTIATION,GOBP,GO:0002521,5.502202762,3.394955787,3.379523267,0,1.895399492,0,0,2.061751194,0,1.550331662
RHYTHMIC PROCESS,GOBP,GO:0048511,1.921282645,2.562063995,3.838829786,3.420285953,0,1.579333153,0,1.347062711,0,0
LYMPHOCYTE ACTIVATION,GOBP,GO:0046649,4.746448526,4.049915992,2.376268027,0,1.653390846,0,0,1.386548229,0,1.511226232
DNA INTEGRITY CHECKPOINT,GOBP,GO:0031570,0,2.00643778,2.100081113,0,2.010414228,2.663145414,0,2.360276724,1.380077807,0
INTRINSIC APOPTOTIC SIGNALING PATHWAY BY P53 CLASS MEDIATOR,GOBP,GO:0072332,1.512950311,2.120957106,1.550701763,0,0,0,1.47004212,3.560830657,1.953932662,0
RESPONSE TO PEPTIDE HORMONE,GOBP,GO:0043434,0,1.479882194,4.797753014,0,1.617517417,1.44679865,0,2.5399464,3.734062095,0
CELLULAR RESPONSE TO EXTRACELLULAR STIMULUS,GOBP,GO:0031668,0,0,4.424536685,0,1.816104406,2.016281579,0,3.717244483,4.854232802,1.804279697
RESPONSE TO OXYGEN LEVELS,GOBP,GO:0070482,0,2.595125851,2.258067622,0,0,2.034889944,0,4.810574747,4.978179684,1.59141066
COGNITION,GOBP,GO:0050890,2.122388347,1.334705083,2.183569929,0,1.393157734,0,0,1.514138559,1.585371469,0
ORGANIC HYDROXY COMPOUND METABOLIC PROCESS,GOBP,GO:1901615,0,0,1.377602208,2.724737311,0,1.98131435,3.328163826,1.620398337,5.907823527,0
NEGATIVE REGULATION OF CELL CYCLE PROCESS,GOBP,GO:0010948,0,1.741011486,2.148049519,0,1.997392478,5.1143422,0,3.814534752,0,4.565239195
VASCULATURE DEVELOPMENT,GOBP,GO:0001944,2.344733011,1.87930727,0,0,0,2.370600663,0,1.44110952,2.86433103,2.558863287
BLOOD VESSEL DEVELOPMENT,GOBP,GO:0001568,2.558297162,1.783816395,0,0,0,2.488480965,0,1.358079428,3.074585759,2.442572295
RESPONSE TO HYPOXIA,GOBP,GO:0001666,0,2.744648271,2.082093149,0,0,1.722284071,0,3.741512391,4.033273595,1.646654827
LYMPHOCYTE DIFFERENTIATION,GOBP,GO:0030098,3.6505779,3.475623525,2.67182906,0,1.671982962,0,0,1.64424686,0,1.642477214
SIGNAL TRANSDUCTION IN RESPONSE TO DNA DAMAGE,GOBP,GO:0042770,0,3.709409841,4.765938456,0,2.671846334,4.385320198,0,3.556513497,2.069133338,0
