"","GOID","cluster","ClusterTheme","UserTheme","pVal","TERM"
"1","GO:0000165",33,"isoenergetic transfer \ thioester bonds","additional tiers \ downstream tier \ intracellular protein \ kinase cascade \ tier phosphorylate \ upstream map4k",0.411152634744978,"MAPK cascade"
"2","GO:0000209",232,"carbohydrate derivative","peptide bond \ protein forming \ ubiquitin chain",0.102964196135802,"protein polyubiquitination"
"3","GO:0000226",178,"assembly arrangement","assembly arrangement",0.00166625464523394,"microtubule cytoskeleton organization"
"4","GO:0001525",300,"tracheal system","existing blood \ pre existing \ vessel formation \ vessels emerge",0.330305963561148,"angiogenesis"
"5","GO:0001568",55,"specific outcome","mature structure",7.03358479140733e-05,"blood vessel development"
"6","GO:0001578",197,"motor proteins","parallel arrangement",0.508270166852671,"microtubule bundle formation"
"7","GO:0001649",397,"cell acquires","specialized features",0.184211401435415,"osteoblast differentiation"
"8","GO:0001937",159,"stops prevents","cell proliferation \ endothelial cell",0.66076048269071,"negative regulation of endothelial cell proliferation"
"9","GO:0002026",138,"muscle contraction","contraction changing",0.492834472463105,"regulation of the force of heart contraction"
"10","GO:0002223",299,"molecular signals","molecular signals",0.00675034815315291,"stimulatory C-type lectin receptor signaling pathway"
"11","GO:0002224",43,"molecular signals","molecular signals",0.0031643468465281,"toll-like receptor signaling pathway"
"12","GO:0002479",252,"mhc class","mhc class",0.405059146398723,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent"
"13","GO:0002576",234,"macrophage colony","preformed mediators \ regulated exocytosis \ secretory granules",0.44070050502065,"platelet degranulation"
"14","GO:0005975",248,"individual cells","acid esters \ acids neutral \ bases glycolipids \ carbohydrate derivatives \ carbohydrate residue \ carotenes polyprenols \ chain bases \ chain fatty \ compounds based \ cx h2o \ fatty acids \ fatty alcohols \ formula cx \ glycolipids phospholipids \ includes fatty \ lipids compounds \ neutral fats \ organic compounds \ polyprenols sterols \ solvent includes \ sterols terpenes \ waxes sphingoids",0.166788076639179,"carbohydrate metabolic process"
"15","GO:0006084",157,"aromatic compound","tricarboxylic acid",0.196127662355791,"acetyl-CoA metabolic process"
"16","GO:0006098",122,"1 phosphate","glucose 6 \ ribulose 5",0.353996345795656,"pentose-phosphate shunt"
"17","GO:0006099",157,"aromatic compound","tricarboxylic acid",0.196127662355791,"tricarboxylic acid cycle"
"18","GO:0006103",103,"colorless liquid","tca cycle",0.138734827986044,"2-oxoglutarate metabolic process"
"19","GO:0006107",103,"colorless liquid","tca cycle",0.138734827986044,"oxaloacetate metabolic process"
"20","GO:0006139",108,"guanyl nucleotides","nucleobase nucleoside",0.00788077133187029,"nucleobase-containing compound metabolic process"
"21","GO:0006164",14,"compound consisting \ sugar esterified","5 hydroxyl \ 5 triphosphate \ adenosine 5 \ base covalently \ covalently bonded \ molecules consisting \ organic molecules \ purine nucleotide \ pyrimidine base \ sugar ribose",0.0429668338168971,"purine nucleotide biosynthetic process"
"22","GO:0006189",53,"5 triphosphate","imp inosine \ inosine monophosphate \ purine ring \ ribose 5 \ stepwise assembly",0.222589423807629,"'de novo' IMP biosynthetic process"
"23","GO:0006396",40,"rna polymerase","primary rna \ rna transcripts",0.463272133176806,"RNA processing"
"24","GO:0006400",101,"position 34 \ post transcriptionally","trna molecule",0.449273531153636,"tRNA modification"
