,,,ChangCTLvsMDD_ACC_Female,ChangCTLvsMDD_ACC_Male,ChangCTLvsMDD_DLPFC_Female,ChangCTLvsMDD_DLPFC_Male,Female Anterior Insula,Female BA8/9,Female BA11,Female BA25,Female Nac,Female Subic,Male Anterior Insula,Male BA8/9,Male BA11,Male BA25,Male Nac,Male Subic,female_ancg,female_dlpfc,female_nacc,male_ancg,male_dlpfc,male_nacc
NEGATIVE REGULATION OF RYANODINE-SENSITIVE CALCIUM-RELEASE CHANNEL ACTIVITY,GOBP,GO:0060315,0,0,0,0,0,0,0,0,0,0,0,0,0,1.458761432,0,0,2.377839854,0,0,2.959293107,0,0
REGULATION OF STRESS-ACTIVATED PROTEIN KINASE SIGNALING CASCADE,GOBP,GO:0070302,5.134046159,8.305747095,14.03068467,4.652846718,4.93152791,6.687176992,7.658050525,1.760791448,3.316370268,4.726619757,3.84905722,5.068145937,6.53747581,23.73291837,2.670530313,6.981473746,2.548152453,5.558573176,2.038806267,12.32831963,6.656912628,9.739827927
MICROTUBULE-BASED PROTEIN TRANSPORT,GOBP,GO:0099118,0,0,0,0,0,0,0,0,0,0,0,0,0,2.091600851,0,0,0,0,0,1.441816039,1.721692896,0
PROTEASOMAL PROTEIN CATABOLIC PROCESS,GOBP,GO:0010498,1.872455526,1.588292912,3.127797174,2.008848306,0,0,7.528618227,1.583726977,0,0,0,2.319837823,2.759034798,5.182094795,0,0,0,0,0,1.672609314,0,0
POSITIVE REGULATION OF TRANSLATION,GOBP,GO:0045727,0,0,1.541975079,2.004541929,0,0,4.155387021,0,0,0,0,0,0,2.291143715,0,0,0,0,0,0,2.227688666,1.56311664
REGULATION OF SYNAPTIC VESICLE RECYCLING,GOBP,GO:1903421,0,0,0,1.320639023,0,0,0,0,0,0,0,1.518085824,0,0,0,0,0,0,0,2.0144123,0,0
REGULATION OF GLOMERULAR FILTRATION,GOBP,GO:0003093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.343955856,0,0,0,1.886564955,5.312405941,0
PLACENTA DEVELOPMENT,GOBP,GO:0001890,0,2.476391222,4.543480635,0,0,0,0,0,0,0,0,0,2.336508343,5.79324839,0,0,1.586203217,0,0,8.544491899,3.474836396,4.113777437
DNA PACKAGING,GOBP,GO:0006323,0,0,1.41979065,1.773286413,0,0,0,0,0,0,0,0,0,0,0,0,0,3.381599954,0,0,0,0
TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY,GOBP,GO:0007178,14.87648857,12.43900919,9.908706928,7.102949147,8.870161331,5.827907821,0,7.30914661,7.426599111,13.69313079,0,5.10150567,8.422547006,10.9646041,0,2.730871762,4.565723591,0,1.515470835,5.095610505,6.061943838,6.685118861
POSITIVE REGULATION OF CELLULAR SENESCENCE,GOBP,GO:2000774,0,1.786689975,0,0,0,0,0,0,0,0,0,0,0,1.333459546,0,0,0,0,0,0,0,0
REGULATION OF NEUROTRANSMITTER LEVELS,GOBP,GO:0001505,2.023424107,1.342515527,2.272884268,1.365222616,2.355748276,0,0,0,0,0,0,0,0,3.197027458,0,0,0,0,0,1.816876875,2.507980162,1.535729539
POSITIVE REGULATION OF PHAGOCYTOSIS,GOBP,GO:0050766,3.161086504,0,0,0,0,0,0,3.081137936,0,0,0,0,0,0,0,0,0,0,0,2.247008389,2.895933331,2.825499343
NEURON CELLULAR HOMEOSTASIS,GOBP,GO:0070050,0,0,1.884521577,0,0,0,0,0,0,1.528182436,0,0,0,1.314158266,0,0,0,0,0,0,0,0
'DE NOVO' PROTEIN FOLDING,GOBP,GO:0006458,1.457618782,0,3.759685172,0,0,0,0,0,0,0,0,0,0,0,0,1.772278217,2.277895587,0,0,2.148645466,4.807612395,2.627163435
REGULATION OF INTERLEUKIN-8 PRODUCTION,GOBP,GO:0032677,6.986639706,2.225942735,2.121871315,2.244004731,4.410753576,0,0,5.983026915,0,5.349667682,0,0,1.575073811,0,0,0,3.263669382,0,1.465207728,4.85509444,6.083357383,6.989001177
REGULATION OF EXTENT OF CELL GROWTH,GOBP,GO:0061387,1.517266899,0,1.571393886,2.452891734,0,2.559215063,0,0,3.741892291,0,0,0,2.84139625,2.927461857,2.086122944,0,0,0,0,2.581130675,1.990396854,1.322108925
MITOCHONDRIAL DNA METABOLIC PROCESS,GOBP,GO:0032042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.544039672,0,0
ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS ANTIGEN,GOBP,GO:0019883,0,0,0,0,0,0,0,3.243314387,0,4.324018401,0,0,0,0,0,0,0,0,0,0,0,0
MYELOID CELL DEVELOPMENT,GOBP,GO:0061515,2.654240518,0,2.372780361,1.374334921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
