"","GOID","cluster","GSE21935_Barnes_FSCZvsCTL","GSE21935_Barnes_MSCZvsCTL","GSE17612_Maycox_FSCZvsCTL","GSE17612_Maycox_MSCZvsCTL","GSE46509_Piet_FSCZvsCTL","GSE46509_Piet_MSCZvsCTL","GSE37981_Piet_FSCZvsCTL","GSE37981_Piet_MSCZvsCTL","female_scz_ancg_dge","female_scz_dlpfc_dge","female_scz_nacc_dge","male_scz_ancg_dge","male_scz_dlpfc_dge","male_scz_nAcc_dge","ClusterTheme","UserTheme","pVal","TERM"
"1","GO:0000002",325,0,0,0,0,0,0,0,0,0,0,0,2.951000424,0,0,"fg nucleoporins","nuclear membrane",0.70831856731718,"mitochondrial genome maintenance"
"2","GO:0000018",143,0,0,0,0,0,0,0,0,0,0,0,3.152789704,0,3.208537189,"chromatin silencing","sister chromatid",7.34354187223017e-07,"regulation of DNA recombination"
"3","GO:0000038",248,0,0,0,0,0,0,0,0,2.207242456,0,0,2.142073217,0,1.586570234,"individual cells","fatty acid",0.00906127216127144,"very long-chain fatty acid metabolic process"
"4","GO:0000041",316,0,0,0,0,0,0,0,0,2.019905269,0,0,7.575640992,2.13009597,0,"directed movement","directed movement",0.0202503238508333,"transition metal ion transport"
"5","GO:0000045",198,0,0,0,0,0,0,0,0,0,0,0,0,0,1.506955329,"membrane bounded","internal vesicles",0.994269664367273,"autophagosome assembly"
"6","GO:0000054",153,0,0,0,0,0,0,1.381655802,0,0,0,0,0,0,0,"core complex","core complex \ proteasome core",0.632539015070849,"ribosomal subunit export from nucleus"
"7","GO:0000062",396,0,0,0,1.516465005,0,0,0,0,0,0,0,0,0,0,"compound consisting","adenylyl residues \ heparan sulfate",0.846879121077969,"fatty-acyl-CoA binding"
"8","GO:0000070",393,0,0,0,0,0,1.35976527,0,0,0,0,0,0,0,3.233848159,"cycle process","cell cycle",0.402062969446392,"mitotic sister chromatid segregation"
"9","GO:0000075",329,0,0,0,0,0,2.239756297,0,0,0,0,0,2.988903707,0,1.67214481,"cell cycle","cell cycle",0.0466356035698134,"cell cycle checkpoint"
"10","GO:0000077",323,0,0,0,0,0,2.004812402,0,0,0,0,0,2.826543245,0,0,"cell cycle","cell cycle",1.86809836749046e-07,"DNA damage checkpoint"
"11","GO:0000079",271,0,0,0,0,0,0,0,0,6.717280847,2.51936573,4.658498009,10.85195561,4.63254223,3.299308904,"adenylate cyclase","threonine kinase",0.0122726958923824,"regulation of cyclin-dependent protein serine/threonine kinase activity"
"12","GO:0000082",329,0,0,0,0,0,0,0,0,3.496150202,0,1.50426216,2.768198653,0,1.402555343,"cell cycle","cell cycle",0.0466356035698134,"G1/S transition of mitotic cell cycle"
"13","GO:0000083",323,1.492075554,0,0,0,0,0,0,0,1.425056607,0,0,0,0,0,"cell cycle","cell cycle",1.86809836749046e-07,"regulation of transcription involved in G1/S transition of mitotic cell cycle"
"14","GO:0000086",329,0,0,0,0,0,0,0,0,2.537596097,2.119489472,0,8.287904365,2.242524848,1.845223645,"cell cycle","cell cycle",0.0466356035698134,"G2/M transition of mitotic cell cycle"
"15","GO:0000118",64,2.156583205,0,2.011896341,0,0,0,0,0,0,0,0,2.712741089,0,0,"histone acetyltransferase","possesses histone",0.587680287229933,"histone deacetylase complex"
"16","GO:0000123",64,0,0,0,0,0,0,0,0,0,0,0,0,1.354755021,0,"histone acetyltransferase","possesses histone",0.587680287229933,"histone acetyltransferase complex"
"17","GO:0000132",329,0,0,0,0,0,0,0,0,0,0,0,3.363278128,0,0,"cell cycle","cell cycle",0.0466356035698134,"establishment of mitotic spindle orientation"
"18","GO:0000146",197,0,0,0,0,0,0,0,0,6.853948987,0,2.306603602,4.101313403,0,4.844442345,"motor proteins","motor proteins",0.000133249146650663,"microfilament motor activity"
"19","GO:0000164",322,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59113435,"protein complex","dynein heavy",0.563179087268481,"protein phosphatase type 1 complex"
"20","GO:0000165",33,0,0,0,0,1.615133558,0,0,0,10.88478455,4.653068116,6.44584619,46.86748776,11.80704588,4.617602195,"covalent linkages","kinase kinase",0.514092478907203,"MAPK cascade"
"21","GO:0000177",73,2.658990435,0,0,0,0,0,0,0,0,0,0,0,0,0,"ribonucleoprotein complex","rna granules",0.997849682805874,"cytoplasmic exosome (RNase complex)"
"22","GO:0000178",322,2.13410892,0,0,0,0,0,0,0,0,0,0,0,0,0,"protein complex","dynein heavy",0.563179087268481,"exosome (RNase complex)"
"23","GO:0000185",282,0,0,0,0,0,0,0,0,0,0,3.461718225,0,0,0,"enzyme map","inactive enzyme",9.47733805401502e-06,"activation of MAPKKK activity"
"24","GO:0000186",282,0,1.66639558,0,0,1.872249936,0,0,0,1.495267682,0,0,8.916834253,3.647625947,0,"enzyme map","inactive enzyme",9.47733805401502e-06,"activation of MAPKK activity"
"25","GO:0000187",282,0,1.500842537,0,0,0,0,0,0,8.915560554,1.963989754,7.344849104,23.25335081,13.31405466,5.124901211,"enzyme map","inactive enzyme",9.47733805401502e-06,"activation of MAPK activity"
"26","GO:0000188",282,0,0,0,0,0,0,0,0,2.639309195,0,0,2.017305529,0,2.871528397,"enzyme map","inactive enzyme",9.47733805401502e-06,"inactivation of MAPK activity"
"27","GO:0000209",232,0,0,0,0,0,0,0,0,0,0,0,3.632791137,2.769027581,1.748442307,"carbohydrate derivative","alpha linked \ dna postreplication \ free dna \ glutamyl units \ glycoprotein folding \ glycosylation process \ initially transferred \ k63 linked \ linked glutamyl \ linked glycan \ linked ubiquitination \ multiple ubiquitin \ nitrogen structures \ peptidyl hydroxylysine \ play roles \ position 63 \ postreplication repair \ processing steps \ promote error \ protein forming \ protein k63 \ protein ubiquitination \ serine peptidyl \ threonine peptidyl \ transferred oligosaccharide \ tyrosine forming \ ubiquitination process",0.858971227106852,"protein polyubiquitination"
"28","GO:0000212",178,0,0,0,0,0,0,0,0,1.565635328,1.454708473,0,0,0,0,"assembly arrangement","assembly arrangement",8.13744543424928e-09,"meiotic spindle organization"
"29","GO:0000217",180,0,0,0,0,0,0,0,0,0,0,0,1.31905424,0,1.855537309,"double stranded","14 3",0.0210842862826596,"DNA secondary structure binding"
"30","GO:0000228",13,0,0,0,0,0,0,0,0,0,0,2.640578408,5.81154733,1.435472967,6.948683132,"organized complex","linear chromosome",0.0686856500318143,"nuclear chromosome"
"31","GO:0000235",11,0,0,0,0,0,0,0,0,0,0,0,2.939472078,0,0,"nephron acquires","thin filaments",0.343797630487494,"astral microtubule"
"32","GO:0000242",387,0,0,0,0,1.515330854,0,2.889630752,0,0,0,0,1.681028441,0,2.161660434,"outer segment","outer segment",0.00372534432311841,"pericentriolar material"
"33","GO:0000272",377,0,0,0,0,1.587259956,0,0,0,0,0,0,0,0,0,"2 amino","concomitant production",0.994436827571194,"polysaccharide catabolic process"
"34","GO:0000276",102,0,0,0,0,0,0,0,0,2.824100603,0,0,0,0,0,"atp synthase","proton transporting",0.109587086755337,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
"35","GO:0000280",393,0,0,0,0,0,0,0,0,0,1.899707582,0,2.104855272,0,5.843562862,"cycle process","cell cycle",0.402062969446392,"nuclear division"
"36","GO:0000287",369,0,0,0,0,0,0,0,0,2.102606346,1.581976867,2.344718363,10.01588346,5.737756099,2.100733029,"responding e.g","original structure",0.469018505209025,"magnesium ion binding"
"37","GO:0000295",108,0,0,0,0,0,0,0,0,1.382635075,0,0,0,0,0,"guanyl nucleotides","compound consisting",5.60701553334567e-06,"adenine nucleotide transmembrane transporter activity"
"38","GO:0000302",34,0,0,0,0,0,0,0,0,5.996153861,0,3.30557415,9.726349623,2.475906792,4.159875378,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",8.42697597102494e-42,"response to reactive oxygen species"
"39","GO:0000303",34,0,0,0,0,0,0,0,0,2.179188864,0,0,0,0,0,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",8.42697597102494e-42,"response to superoxide"
"40","GO:0000305",34,0,0,0,0,0,0,0,0,2.111565225,0,0,0,0,0,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",8.42697597102494e-42,"response to oxygen radical"
"41","GO:0000307",128,0,0,0,0,0,0,0,0,5.441721359,0,1.831242503,6.835322303,1.518272624,7.051920095,"cyclin dependent","cyclin dependent \ dependent protein",0.796448053074135,"cyclin-dependent protein kinase holoenzyme complex"
"42","GO:0000338",33,0,0,0,0,0,0,0,0,0,0,0,2.939472078,0,4.620155815,"covalent linkages","kinase kinase",0.514092478907203,"protein deneddylation"
"43","GO:0000375",288,0,0,0,0,0,0,0,0,0,0,0,0,0,2.281123362,"terminal domain","3 exonucleolytic \ additional protein \ adenosine residue \ adp ribosylation \ assembling spliceosome \ bulged adenosine \ chain elongation \ cis splicing \ correct posttranslational \ dependent binding \ dna overhang \ excised intron \ exonucleolytic resection \ hydrolysis dependent \ initial rna \ initiating nucleophile \ intron branch \ intron sequences \ joined exons \ lariat structure \ molecule cis \ mrna consisting \ nucleotide hydrolysis \ posttranslational noncovalent \ primary transcripts \ protein cofactors \ splice site \ splicing reaction",0.929420799529822,"RNA splicing, via transesterification reactions"
"44","GO:0000377",288,0,0,0,0,0,0,0,0,0,0,0,0,0,2.316685816,"terminal domain","3 exonucleolytic \ additional protein \ adenosine residue \ adp ribosylation \ assembling spliceosome \ bulged adenosine \ chain elongation \ cis splicing \ correct posttranslational \ dependent binding \ dna overhang \ excised intron \ exonucleolytic resection \ hydrolysis dependent \ initial rna \ initiating nucleophile \ intron branch \ intron sequences \ joined exons \ lariat structure \ molecule cis \ mrna consisting \ nucleotide hydrolysis \ posttranslational noncovalent \ primary transcripts \ protein cofactors \ splice site \ splicing reaction",0.929420799529822,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"
"45","GO:0000380",40,0,0,0,0,0,0,0,0,0,0,0,0,0,3.156105444,"rna polymerase","rna polymerase",0.538150815690916,"alternative mRNA splicing, via spliceosome"
"46","GO:0000398",288,0,0,0,0,0,0,0,0,0,0,0,0,0,2.316685816,"terminal domain","3 exonucleolytic \ additional protein \ adenosine residue \ adp ribosylation \ assembling spliceosome \ bulged adenosine \ chain elongation \ cis splicing \ correct posttranslational \ dependent binding \ dna overhang \ excised intron \ exonucleolytic resection \ hydrolysis dependent \ initial rna \ initiating nucleophile \ intron branch \ intron sequences \ joined exons \ lariat structure \ molecule cis \ mrna consisting \ nucleotide hydrolysis \ posttranslational noncovalent \ primary transcripts \ protein cofactors \ splice site \ splicing reaction",0.929420799529822,"mRNA splicing, via spliceosome"
"47","GO:0000400",180,0,0,0,0,0,0,0,0,0,0,0,2.010600597,0,2.428782596,"double stranded","14 3",0.0210842862826596,"four-way junction DNA binding"
"48","GO:0000421",15,0,0,0,0,0,0,0,0,0,0,0,0,0,2.137017116,"bilayer surrounding","bilayer surrounding",0.000471656330720531,"autophagosome membrane"
"49","GO:0000422",112,0,0,0,0,0,0,0,0,0,0,0,0,0,1.377397887,"er membrane","er membrane",0.806314111014729,"autophagy of mitochondrion"
"50","GO:0000428",168,0,0,0,0,0,0,0,0,0,0,0,1.576329435,0,0,"rrna molecule","rna polymerase",0.0878094970524227,"DNA-directed RNA polymerase complex"
"51","GO:0000463",168,0,0,0,0,0,0,0,0,0,0,1.8680128,0,0,0,"rrna molecule","rna polymerase",0.0878094970524227,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"52","GO:0000470",33,0,0,0,0,0,0,0,0,0,0,1.355802244,0,0,0,"covalent linkages","kinase kinase",0.514092478907203,"maturation of LSU-rRNA"
"53","GO:0000502",153,0,0,0,0,0,0,0,0,0,0,0,4.79575402,2.497644777,0,"core complex","core complex \ proteasome core",0.632539015070849,"proteasome complex"
"54","GO:0000712",393,0,0,0,0,0,0,0,0,0,0,0,0,1.491455833,1.351268368,"cycle process","cell cycle",0.402062969446392,"resolution of meiotic recombination intermediates"
"55","GO:0000715",75,0,0,0,0,0,0,0,0,0,0,0,0,0,4.226633589,"excision repair","excision repair",0.420593647282057,"nucleotide-excision repair, DNA damage recognition"
"56","GO:0000722",336,0,0,0,0,0,0,0,0,0,0,0,2.333175047,0,2.68196268,"mating type","proper telomeric \ telomeric length",0.288831712517769,"telomere maintenance via recombination"
"57","GO:0000723",336,0,0,0,0,0,0,0,0,0,0,0,3.308204617,0,5.614877046,"mating type","proper telomeric \ telomeric length",0.288831712517769,"telomere maintenance"
"58","GO:0000724",214,0,0,0,0,0,0,0,0,0,0,0,1.425065244,0,6.295181986,"strand break","strand break",0.0447932556746147,"double-strand break repair via homologous recombination"
"59","GO:0000725",336,0,0,0,0,0,0,0,0,0,0,0,1.376067518,0,6.202856485,"mating type","proper telomeric \ telomeric length",0.288831712517769,"recombinational repair"
"60","GO:0000726",336,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4193912,"mating type","proper telomeric \ telomeric length",0.288831712517769,"non-recombinational repair"
"61","GO:0000727",214,0,0,0,0,0,1.356963755,0,0,1.565635328,0,0,0,0,0,"strand break","strand break",0.0447932556746147,"double-strand break repair via break-induced replication"
"62","GO:0000729",288,0,0,0,0,0,0,0,0,0,0,0,0,0,4.326339183,"terminal domain","3 exonucleolytic \ additional protein \ adenosine residue \ adp ribosylation \ assembling spliceosome \ bulged adenosine \ chain elongation \ cis splicing \ correct posttranslational \ dependent binding \ dna overhang \ excised intron \ exonucleolytic resection \ hydrolysis dependent \ initial rna \ initiating nucleophile \ intron branch \ intron sequences \ joined exons \ lariat structure \ molecule cis \ mrna consisting \ nucleotide hydrolysis \ posttranslational noncovalent \ primary transcripts \ protein cofactors \ splice site \ splicing reaction",0.929420799529822,"DNA double-strand break processing"
"63","GO:0000731",168,0,0,0,0,0,0,0,0,0,0,0,0,0,1.752235457,"rrna molecule","rna polymerase",0.0878094970524227,"DNA synthesis involved in DNA repair"
"64","GO:0000774",108,0,0,0,0,2.573340503,0,0,0,0,0,0,2.761208765,3.23093349,0,"guanyl nucleotides","compound consisting",5.60701553334567e-06,"adenyl-nucleotide exchange factor activity"
"65","GO:0000775",13,0,0,0,0,0,0,0,0,0,2.551191045,0,0,0,2.869598145,"organized complex","linear chromosome",0.0686856500318143,"chromosome, centromeric region"
"66","GO:0000776",83,0,0,0,0,0,0,0,0,0,0,0,0,0,1.813197802,"protein complex","blood platelets",0.999742182339341,"kinetochore"
"67","GO:0000779",13,0,0,0,0,0,0,0,0,0,0,0,0,0,1.625941522,"organized complex","linear chromosome",0.0686856500318143,"condensed chromosome, centromeric region"
"68","GO:0000781",13,0,0,0,0,0,0,0,0,0,0,0,4.205915746,0,6.136460914,"organized complex","linear chromosome",0.0686856500318143,"chromosome, telomeric region"
"69","GO:0000782",13,0,0,0,0,0,0,0,0,0,0,0,1.576391191,0,1.617071875,"organized complex","linear chromosome",0.0686856500318143,"telomere cap complex"
