"","GOID","cluster","ChangCTLvsMDD_ACC_Female","ChangCTLvsMDD_ACC_Male","ChangCTLvsMDD_DLPFC_Female","ChangCTLvsMDD_DLPFC_Male","Female.Anterior.Insula","Female.BA8.9","Female.BA11","Female.BA25","Female.Nac","Female.Subic","Male.Anterior.Insula","Male.BA8.9","Male.BA11","Male.BA25","Male.Nac","Male.Subic","female_ancg","female_dlpfc","female_nacc","male_ancg","male_dlpfc","male_nacc","ClusterTheme","UserTheme","pVal","TERM"
"1","GO:0000002",325,0,0,2.384256815,0,0,0,1.579377754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fg nucleoporins","mitochondrial matrix",0.348830263627997,"mitochondrial genome maintenance"
"2","GO:0000012",214,0,0,0,0,0,0,0,0,0,0,0,0,0,2.788527935,1.409616198,0,0,0,0,0,0,0,"strand break","strand break",0.125705636487336,"single strand break repair"
"3","GO:0000014",353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.452346454,0,0,0,"endonucleolytic cleavage","creating internal \ internal breaks",0.998643788598927,"single-stranded DNA endodeoxyribonuclease activity"
"4","GO:0000018",143,1.73042462,1.480598581,4.961718686,0,0,0,1.973781409,0,0,0,0,1.312436788,2.492432144,2.928933484,0,0,0,0,0,0,0,2.886920271,"chromatin silencing","centrosome duplication \ sister chromatid",2.40338791844792e-09,"regulation of DNA recombination"
"5","GO:0000028",258,0,0,0,0,0,0,1.689094414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"aggregation arrangement","aggregation arrangement",0.63473259470626,"ribosomal small subunit assembly"
"6","GO:0000038",248,0,0,0,0,0,0,1.301060744,0,0,1.504148274,0,2.2195779,0,0,0,1.967330666,0,0,0,0,0,0,"individual cells","fatty acid",0.0194872045260805,"very long-chain fatty acid metabolic process"
"7","GO:0000041",316,0,1.720550359,2.478821828,0,0,1.75118919,4.709602149,0,0,0,0,2.171590042,0,3.426863411,0,0,2.702163685,0,0,2.489183595,1.924311821,4.057539675,"directed movement","directed movement",0.0236343597743778,"transition metal ion transport"
"8","GO:0000045",198,0,0,1.503620933,0,1.455020522,0,0,0,0,0,0,1.497679248,0,0,0,0,0,0,0,0,0,0,"membrane bounded","chitin synthase",0.96189684007365,"autophagosome assembly"
"9","GO:0000070",393,0,0,0,0,1.690236792,0,0,0,0,0,1.623699513,1.926873419,0,2.403650345,1.879392488,0,0,11.74147417,0,0,0,0,"cycle process","cell cycle",0.35685832958,"mitotic sister chromatid segregation"
"10","GO:0000075",329,0,1.35734372,6.115654637,0,0,0,1.907023737,0,0,0,0,1.316296232,0,0,2.24222829,0,1.779972428,8.643248934,1.569544778,1.36673375,1.572283398,0,"cell cycle","cell cycle",0.00821105154592137,"cell cycle checkpoint"
