,,,GSE21935_Barnes_FSCZvsCTL,GSE21935_Barnes_MSCZvsCTL,GSE17612_Maycox_FSCZvsCTL,GSE17612_Maycox_MSCZvsCTL,GSE46509_Piet_FSCZvsCTL,GSE46509_Piet_MSCZvsCTL,GSE37981_Piet_FSCZvsCTL,GSE37981_Piet_MSCZvsCTL,female_scz_ancg_dge,female_scz_dlpfc_dge,female_scz_nacc_dge,male_scz_ancg_dge,male_scz_dlpfc_dge,male_scz_nAcc_dge
REGULATION OF SMALL MOLECULE METABOLIC PROCESS,GOBP,GO:0062012,1.587153022,4.49697214,4.044966519,2.980963009,3.014276987,3.509056801,2.675307597,3.212894594,3.39062417,1.607429649,0,2.77012179,4.623088569,2.806988415
CELLULAR RESPONSE TO GROWTH FACTOR STIMULUS,GOBP,GO:0071363,4.770508892,2.225756416,6.627538903,2.698312115,3.43846313,7.263009494,3.047881785,6.38802361,6.093206886,1.980707605,1.669881421,3.526803202,2.092401351,0
NEGATIVE REGULATION OF KINASE ACTIVITY,GOBP,GO:0033673,2.477814995,5.685150823,3.363876092,4.324893787,3.442953069,6.057721716,4.908783926,2.516665302,2.0359417,2.500869237,0,1.565697083,1.588649735,0
RESPONSE TO PEPTIDE HORMONE,GOBP,GO:0043434,4.775225256,2.845372225,3.737305816,0,2.57456021,6.490798706,2.286957165,4.317702628,1.499466097,2.464217159,0,6.203525678,4.593959048,1.411545817
NEGATIVE REGULATION OF PROTEIN PHOSPHORYLATION,GOBP,GO:0001933,3.713557424,13.85289915,4.963905104,7.470242307,4.739435315,6.166514144,7.823305723,2.7102247,1.47406351,2.305050552,0,4.561061332,1.887116476,0
INSULIN RECEPTOR SIGNALING PATHWAY,GOBP,GO:0008286,5.990245267,3.905861771,2.963614508,0,1.407511349,5.928282432,3.342573753,5.10989926,1.896692791,1.367729671,0,4.334182488,2.924256583,1.697070314
NEGATIVE REGULATION OF PROTEIN KINASE ACTIVITY,GOBP,GO:0006469,2.651519971,6.049746455,3.607450934,4.581832614,2.772250581,6.395296888,5.203002307,2.717625216,2.39718406,2.674953239,0,1.811143667,1.512099945,0
NEGATIVE REGULATION OF TRANSFERASE ACTIVITY,GOBP,GO:0051348,2.258286845,6.100591157,3.056342366,4.921233436,3.168518468,6.624728618,4.534847017,2.264066052,1.92095981,2.280800224,0,2.769217869,1.557145011,0
GO ID NOT FOUND IN OBO FILE ONTOLOGY DEFINITIONS,GOMF,GO:0106311,6.845087024,9.704770016,4.691509428,7.07401156,5.19706522,12.09473313,4.719167379,13.00109138,1.712166466,0,1.301551336,5.926203532,1.786124625,0
GO ID NOT FOUND IN OBO FILE ONTOLOGY DEFINITIONS,GOMF,GO:0106310,6.845087024,9.704770016,4.691509428,7.07401156,5.19706522,12.09473313,4.719167379,13.00109138,1.712166466,0,1.301551336,5.926203532,1.786124625,0
TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY,GOBP,GO:0007178,3.07720198,1.657610386,2.495287332,1.486732606,1.500989546,4.992375962,4.858770431,7.045139672,2.019411719,0,0,4.256449515,1.369263108,0
REGULATION OF HEMOPOIESIS,GOBP,GO:1903706,0,1.809220868,2.523857075,6.009241275,0,1.995611764,4.663255486,1.380664494,3.285500699,2.069888637,2.163239293,3.273060134,1.998451659,0
LEUKOCYTE DIFFERENTIATION,GOBP,GO:0002521,1.992913771,2.514627262,8.545271742,3.599890621,1.456124873,6.03229101,1.869216096,1.961145638,5.590383917,1.387615902,0,2.907991232,0,0
CELLULAR RESPONSE TO PEPTIDE HORMONE STIMULUS,GOBP,GO:0071375,6.051165356,2.405292963,3.294827262,0,2.546803615,5.961581683,2.297732598,3.961154695,1.314363885,1.721411712,0,5.252649073,5.029514911,0
REGULATION OF TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY,GOBP,GO:0090092,6.261350151,3.262928925,4.27218351,7.550455721,4.447717087,5.158597681,4.074035965,3.329617137,3.368182028,0,0,3.053276851,3.324903049,0
VASCULATURE DEVELOPMENT,GOBP,GO:0001944,1.923377236,2.739916604,4.265693661,3.352786423,4.147266596,4.616426476,1.783510197,4.090282605,3.56183628,1.398959062,0,3.113338826,0,0
